"Sample"	"Cluster"	"CellType"	"fov"	"Sample_celltype_fov"
"g2_Early Macrophage Ag_18"	"g2"	"Early Macrophage Ag"	"18"	"g2_Early Macrophage Ag_18"
"g2_Early Macrophage Ag_19"	"g2"	"Early Macrophage Ag"	"19"	"g2_Early Macrophage Ag_19"
"g2_Early Macrophage Ag_20"	"g2"	"Early Macrophage Ag"	"20"	"g2_Early Macrophage Ag_20"
"g2_Early Macrophage Ag_21"	"g2"	"Early Macrophage Ag"	"21"	"g2_Early Macrophage Ag_21"
"g2_Early Macrophage Ag_22"	"g2"	"Early Macrophage Ag"	"22"	"g2_Early Macrophage Ag_22"
"g3_PDAC Cancer_1"	"g3"	"PDAC Cancer"	"1"	"g3_PDAC Cancer_1"
"g3_PDAC Cancer_2"	"g3"	"PDAC Cancer"	"2"	"g3_PDAC Cancer_2"
"g3_PDAC Cancer_3"	"g3"	"PDAC Cancer"	"3"	"g3_PDAC Cancer_3"
"g3_PDAC Cancer_4"	"g3"	"PDAC Cancer"	"4"	"g3_PDAC Cancer_4"
"g3_PDAC Cancer_5"	"g3"	"PDAC Cancer"	"5"	"g3_PDAC Cancer_5"
"g3_PDAC Cancer_6"	"g3"	"PDAC Cancer"	"6"	"g3_PDAC Cancer_6"
"g3_PDAC Cancer_7"	"g3"	"PDAC Cancer"	"7"	"g3_PDAC Cancer_7"
"g3_PDAC Cancer_8"	"g3"	"PDAC Cancer"	"8"	"g3_PDAC Cancer_8"
"g3_PDAC Cancer_9"	"g3"	"PDAC Cancer"	"9"	"g3_PDAC Cancer_9"
"g3_PDAC Cancer_10"	"g3"	"PDAC Cancer"	"10"	"g3_PDAC Cancer_10"
"g3_PDAC Cancer_11"	"g3"	"PDAC Cancer"	"11"	"g3_PDAC Cancer_11"
"g3_PDAC Cancer_12"	"g3"	"PDAC Cancer"	"12"	"g3_PDAC Cancer_12"
"g3_PDAC Cancer_13"	"g3"	"PDAC Cancer"	"13"	"g3_PDAC Cancer_13"
"g3_PDAC Cancer_14"	"g3"	"PDAC Cancer"	"14"	"g3_PDAC Cancer_14"
"g3_PDAC Cancer_15"	"g3"	"PDAC Cancer"	"15"	"g3_PDAC Cancer_15"
"g3_PDAC Cancer_17"	"g3"	"PDAC Cancer"	"17"	"g3_PDAC Cancer_17"
"g3_PDAC Cancer_21"	"g3"	"PDAC Cancer"	"21"	"g3_PDAC Cancer_21"
"g3_PDAC Cancer_22"	"g3"	"PDAC Cancer"	"22"	"g3_PDAC Cancer_22"
"g4_Stroma_1"	"g4"	"Stroma"	"1"	"g4_Stroma_1"
"g4_Stroma_2"	"g4"	"Stroma"	"2"	"g4_Stroma_2"
"g4_Stroma_3"	"g4"	"Stroma"	"3"	"g4_Stroma_3"
"g4_Stroma_4"	"g4"	"Stroma"	"4"	"g4_Stroma_4"
"g4_Stroma_5"	"g4"	"Stroma"	"5"	"g4_Stroma_5"
"g4_Stroma_6"	"g4"	"Stroma"	"6"	"g4_Stroma_6"
"g4_Stroma_7"	"g4"	"Stroma"	"7"	"g4_Stroma_7"
"g4_Stroma_8"	"g4"	"Stroma"	"8"	"g4_Stroma_8"
"g4_Stroma_9"	"g4"	"Stroma"	"9"	"g4_Stroma_9"
"g4_Stroma_10"	"g4"	"Stroma"	"10"	"g4_Stroma_10"
"g4_Stroma_11"	"g4"	"Stroma"	"11"	"g4_Stroma_11"
"g4_Stroma_12"	"g4"	"Stroma"	"12"	"g4_Stroma_12"
"g4_Stroma_13"	"g4"	"Stroma"	"13"	"g4_Stroma_13"
"g4_Stroma_14"	"g4"	"Stroma"	"14"	"g4_Stroma_14"
"g4_Stroma_15"	"g4"	"Stroma"	"15"	"g4_Stroma_15"
"g4_Stroma_16"	"g4"	"Stroma"	"16"	"g4_Stroma_16"
"g4_Stroma_17"	"g4"	"Stroma"	"17"	"g4_Stroma_17"
"g4_Stroma_18"	"g4"	"Stroma"	"18"	"g4_Stroma_18"
"g4_Stroma_19"	"g4"	"Stroma"	"19"	"g4_Stroma_19"
"g4_Stroma_20"	"g4"	"Stroma"	"20"	"g4_Stroma_20"
"g4_Stroma_21"	"g4"	"Stroma"	"21"	"g4_Stroma_21"
"g4_Stroma_22"	"g4"	"Stroma"	"22"	"g4_Stroma_22"
"g5_PDAC Cancer_1"	"g5"	"PDAC Cancer"	"1"	"g5_PDAC Cancer_1"
"g5_PDAC Cancer_2"	"g5"	"PDAC Cancer"	"2"	"g5_PDAC Cancer_2"
"g5_PDAC Cancer_3"	"g5"	"PDAC Cancer"	"3"	"g5_PDAC Cancer_3"
"g5_PDAC Cancer_4"	"g5"	"PDAC Cancer"	"4"	"g5_PDAC Cancer_4"
"g5_PDAC Cancer_5"	"g5"	"PDAC Cancer"	"5"	"g5_PDAC Cancer_5"
"g5_PDAC Cancer_6"	"g5"	"PDAC Cancer"	"6"	"g5_PDAC Cancer_6"
"g5_PDAC Cancer_7"	"g5"	"PDAC Cancer"	"7"	"g5_PDAC Cancer_7"
"g5_PDAC Cancer_8"	"g5"	"PDAC Cancer"	"8"	"g5_PDAC Cancer_8"
"g5_PDAC Cancer_9"	"g5"	"PDAC Cancer"	"9"	"g5_PDAC Cancer_9"
"g5_PDAC Cancer_10"	"g5"	"PDAC Cancer"	"10"	"g5_PDAC Cancer_10"
"g5_PDAC Cancer_12"	"g5"	"PDAC Cancer"	"12"	"g5_PDAC Cancer_12"
"g5_PDAC Cancer_13"	"g5"	"PDAC Cancer"	"13"	"g5_PDAC Cancer_13"
"g5_PDAC Cancer_21"	"g5"	"PDAC Cancer"	"21"	"g5_PDAC Cancer_21"
"g5_PDAC Cancer_22"	"g5"	"PDAC Cancer"	"22"	"g5_PDAC Cancer_22"
"g6_Tcells(CD45,CD3)_1"	"g6"	"Tcells(CD45,CD3)"	"1"	"g6_Tcells(CD45,CD3)_1"
"g6_Tcells(CD45,CD3)_2"	"g6"	"Tcells(CD45,CD3)"	"2"	"g6_Tcells(CD45,CD3)_2"
"g6_Tcells(CD45,CD3)_3"	"g6"	"Tcells(CD45,CD3)"	"3"	"g6_Tcells(CD45,CD3)_3"
"g6_Tcells(CD45,CD3)_4"	"g6"	"Tcells(CD45,CD3)"	"4"	"g6_Tcells(CD45,CD3)_4"
"g6_Tcells(CD45,CD3)_5"	"g6"	"Tcells(CD45,CD3)"	"5"	"g6_Tcells(CD45,CD3)_5"
"g6_Tcells(CD45,CD3)_6"	"g6"	"Tcells(CD45,CD3)"	"6"	"g6_Tcells(CD45,CD3)_6"
"g6_Tcells(CD45,CD3)_7"	"g6"	"Tcells(CD45,CD3)"	"7"	"g6_Tcells(CD45,CD3)_7"
"g6_Tcells(CD45,CD3)_8"	"g6"	"Tcells(CD45,CD3)"	"8"	"g6_Tcells(CD45,CD3)_8"
"g6_Tcells(CD45,CD3)_9"	"g6"	"Tcells(CD45,CD3)"	"9"	"g6_Tcells(CD45,CD3)_9"
"g6_Tcells(CD45,CD3)_10"	"g6"	"Tcells(CD45,CD3)"	"10"	"g6_Tcells(CD45,CD3)_10"
"g6_Tcells(CD45,CD3)_11"	"g6"	"Tcells(CD45,CD3)"	"11"	"g6_Tcells(CD45,CD3)_11"
"g6_Tcells(CD45,CD3)_12"	"g6"	"Tcells(CD45,CD3)"	"12"	"g6_Tcells(CD45,CD3)_12"
"g6_Tcells(CD45,CD3)_13"	"g6"	"Tcells(CD45,CD3)"	"13"	"g6_Tcells(CD45,CD3)_13"
"g6_Tcells(CD45,CD3)_14"	"g6"	"Tcells(CD45,CD3)"	"14"	"g6_Tcells(CD45,CD3)_14"
"g6_Tcells(CD45,CD3)_15"	"g6"	"Tcells(CD45,CD3)"	"15"	"g6_Tcells(CD45,CD3)_15"
"g6_Tcells(CD45,CD3)_16"	"g6"	"Tcells(CD45,CD3)"	"16"	"g6_Tcells(CD45,CD3)_16"
"g6_Tcells(CD45,CD3)_17"	"g6"	"Tcells(CD45,CD3)"	"17"	"g6_Tcells(CD45,CD3)_17"
"g6_Tcells(CD45,CD3)_18"	"g6"	"Tcells(CD45,CD3)"	"18"	"g6_Tcells(CD45,CD3)_18"
"g6_Tcells(CD45,CD3)_19"	"g6"	"Tcells(CD45,CD3)"	"19"	"g6_Tcells(CD45,CD3)_19"
"g6_Tcells(CD45,CD3)_20"	"g6"	"Tcells(CD45,CD3)"	"20"	"g6_Tcells(CD45,CD3)_20"
"g6_Tcells(CD45,CD3)_21"	"g6"	"Tcells(CD45,CD3)"	"21"	"g6_Tcells(CD45,CD3)_21"
"g6_Tcells(CD45,CD3)_22"	"g6"	"Tcells(CD45,CD3)"	"22"	"g6_Tcells(CD45,CD3)_22"
"g7_Stroma_1"	"g7"	"Stroma"	"1"	"g7_Stroma_1"
"g7_Stroma_2"	"g7"	"Stroma"	"2"	"g7_Stroma_2"
"g7_Stroma_3"	"g7"	"Stroma"	"3"	"g7_Stroma_3"
"g7_Stroma_4"	"g7"	"Stroma"	"4"	"g7_Stroma_4"
"g7_Stroma_5"	"g7"	"Stroma"	"5"	"g7_Stroma_5"
"g7_Stroma_6"	"g7"	"Stroma"	"6"	"g7_Stroma_6"
"g7_Stroma_7"	"g7"	"Stroma"	"7"	"g7_Stroma_7"
"g7_Stroma_8"	"g7"	"Stroma"	"8"	"g7_Stroma_8"
"g7_Stroma_9"	"g7"	"Stroma"	"9"	"g7_Stroma_9"
"g7_Stroma_10"	"g7"	"Stroma"	"10"	"g7_Stroma_10"
"g7_Stroma_11"	"g7"	"Stroma"	"11"	"g7_Stroma_11"
"g7_Stroma_12"	"g7"	"Stroma"	"12"	"g7_Stroma_12"
"g7_Stroma_13"	"g7"	"Stroma"	"13"	"g7_Stroma_13"
"g7_Stroma_14"	"g7"	"Stroma"	"14"	"g7_Stroma_14"
"g7_Stroma_15"	"g7"	"Stroma"	"15"	"g7_Stroma_15"
"g7_Stroma_16"	"g7"	"Stroma"	"16"	"g7_Stroma_16"
"g7_Stroma_17"	"g7"	"Stroma"	"17"	"g7_Stroma_17"
"g7_Stroma_18"	"g7"	"Stroma"	"18"	"g7_Stroma_18"
"g7_Stroma_19"	"g7"	"Stroma"	"19"	"g7_Stroma_19"
"g7_Stroma_20"	"g7"	"Stroma"	"20"	"g7_Stroma_20"
"g7_Stroma_21"	"g7"	"Stroma"	"21"	"g7_Stroma_21"
"g7_Stroma_22"	"g7"	"Stroma"	"22"	"g7_Stroma_22"
"g8_Stroma_1"	"g8"	"Stroma"	"1"	"g8_Stroma_1"
"g8_Stroma_2"	"g8"	"Stroma"	"2"	"g8_Stroma_2"
"g8_Stroma_3"	"g8"	"Stroma"	"3"	"g8_Stroma_3"
"g8_Stroma_4"	"g8"	"Stroma"	"4"	"g8_Stroma_4"
"g8_Stroma_5"	"g8"	"Stroma"	"5"	"g8_Stroma_5"
"g8_Stroma_6"	"g8"	"Stroma"	"6"	"g8_Stroma_6"
"g8_Stroma_7"	"g8"	"Stroma"	"7"	"g8_Stroma_7"
"g8_Stroma_8"	"g8"	"Stroma"	"8"	"g8_Stroma_8"
"g8_Stroma_9"	"g8"	"Stroma"	"9"	"g8_Stroma_9"
"g8_Stroma_10"	"g8"	"Stroma"	"10"	"g8_Stroma_10"
"g8_Stroma_11"	"g8"	"Stroma"	"11"	"g8_Stroma_11"
"g8_Stroma_12"	"g8"	"Stroma"	"12"	"g8_Stroma_12"
"g8_Stroma_13"	"g8"	"Stroma"	"13"	"g8_Stroma_13"
"g8_Stroma_14"	"g8"	"Stroma"	"14"	"g8_Stroma_14"
"g8_Stroma_15"	"g8"	"Stroma"	"15"	"g8_Stroma_15"
"g8_Stroma_16"	"g8"	"Stroma"	"16"	"g8_Stroma_16"
"g8_Stroma_17"	"g8"	"Stroma"	"17"	"g8_Stroma_17"
"g8_Stroma_18"	"g8"	"Stroma"	"18"	"g8_Stroma_18"
"g8_Stroma_19"	"g8"	"Stroma"	"19"	"g8_Stroma_19"
"g8_Stroma_20"	"g8"	"Stroma"	"20"	"g8_Stroma_20"
"g8_Stroma_21"	"g8"	"Stroma"	"21"	"g8_Stroma_21"
"g8_Stroma_22"	"g8"	"Stroma"	"22"	"g8_Stroma_22"
"g9_Bcells(CD45,CD3)_1"	"g9"	"Bcells(CD45,CD3)"	"1"	"g9_Bcells(CD45,CD3)_1"
"g9_Bcells(CD45,CD3)_2"	"g9"	"Bcells(CD45,CD3)"	"2"	"g9_Bcells(CD45,CD3)_2"
"g9_Bcells(CD45,CD3)_3"	"g9"	"Bcells(CD45,CD3)"	"3"	"g9_Bcells(CD45,CD3)_3"
"g9_Bcells(CD45,CD3)_4"	"g9"	"Bcells(CD45,CD3)"	"4"	"g9_Bcells(CD45,CD3)_4"
"g9_Bcells(CD45,CD3)_5"	"g9"	"Bcells(CD45,CD3)"	"5"	"g9_Bcells(CD45,CD3)_5"
"g9_Bcells(CD45,CD3)_6"	"g9"	"Bcells(CD45,CD3)"	"6"	"g9_Bcells(CD45,CD3)_6"
"g9_Bcells(CD45,CD3)_7"	"g9"	"Bcells(CD45,CD3)"	"7"	"g9_Bcells(CD45,CD3)_7"
"g9_Bcells(CD45,CD3)_9"	"g9"	"Bcells(CD45,CD3)"	"9"	"g9_Bcells(CD45,CD3)_9"
"g9_Bcells(CD45,CD3)_10"	"g9"	"Bcells(CD45,CD3)"	"10"	"g9_Bcells(CD45,CD3)_10"
"g9_Bcells(CD45,CD3)_11"	"g9"	"Bcells(CD45,CD3)"	"11"	"g9_Bcells(CD45,CD3)_11"
"g9_Bcells(CD45,CD3)_12"	"g9"	"Bcells(CD45,CD3)"	"12"	"g9_Bcells(CD45,CD3)_12"
"g9_Bcells(CD45,CD3)_13"	"g9"	"Bcells(CD45,CD3)"	"13"	"g9_Bcells(CD45,CD3)_13"
"g9_Bcells(CD45,CD3)_14"	"g9"	"Bcells(CD45,CD3)"	"14"	"g9_Bcells(CD45,CD3)_14"
"g9_Bcells(CD45,CD3)_15"	"g9"	"Bcells(CD45,CD3)"	"15"	"g9_Bcells(CD45,CD3)_15"
"g9_Bcells(CD45,CD3)_16"	"g9"	"Bcells(CD45,CD3)"	"16"	"g9_Bcells(CD45,CD3)_16"
"g9_Bcells(CD45,CD3)_17"	"g9"	"Bcells(CD45,CD3)"	"17"	"g9_Bcells(CD45,CD3)_17"
"g9_Bcells(CD45,CD3)_18"	"g9"	"Bcells(CD45,CD3)"	"18"	"g9_Bcells(CD45,CD3)_18"
"g9_Bcells(CD45,CD3)_19"	"g9"	"Bcells(CD45,CD3)"	"19"	"g9_Bcells(CD45,CD3)_19"
"g9_Bcells(CD45,CD3)_20"	"g9"	"Bcells(CD45,CD3)"	"20"	"g9_Bcells(CD45,CD3)_20"
"g9_Bcells(CD45,CD3)_21"	"g9"	"Bcells(CD45,CD3)"	"21"	"g9_Bcells(CD45,CD3)_21"
"g9_Bcells(CD45,CD3)_22"	"g9"	"Bcells(CD45,CD3)"	"22"	"g9_Bcells(CD45,CD3)_22"
"g10_Stroma_1"	"g10"	"Stroma"	"1"	"g10_Stroma_1"
"g10_Stroma_2"	"g10"	"Stroma"	"2"	"g10_Stroma_2"
"g10_Stroma_3"	"g10"	"Stroma"	"3"	"g10_Stroma_3"
"g10_Stroma_4"	"g10"	"Stroma"	"4"	"g10_Stroma_4"
"g10_Stroma_5"	"g10"	"Stroma"	"5"	"g10_Stroma_5"
"g10_Stroma_6"	"g10"	"Stroma"	"6"	"g10_Stroma_6"
"g10_Stroma_7"	"g10"	"Stroma"	"7"	"g10_Stroma_7"
"g10_Stroma_8"	"g10"	"Stroma"	"8"	"g10_Stroma_8"
"g10_Stroma_9"	"g10"	"Stroma"	"9"	"g10_Stroma_9"
"g10_Stroma_10"	"g10"	"Stroma"	"10"	"g10_Stroma_10"
"g10_Stroma_11"	"g10"	"Stroma"	"11"	"g10_Stroma_11"
"g10_Stroma_12"	"g10"	"Stroma"	"12"	"g10_Stroma_12"
"g10_Stroma_13"	"g10"	"Stroma"	"13"	"g10_Stroma_13"
"g10_Stroma_14"	"g10"	"Stroma"	"14"	"g10_Stroma_14"
"g10_Stroma_15"	"g10"	"Stroma"	"15"	"g10_Stroma_15"
"g10_Stroma_16"	"g10"	"Stroma"	"16"	"g10_Stroma_16"
"g10_Stroma_17"	"g10"	"Stroma"	"17"	"g10_Stroma_17"
"g10_Stroma_20"	"g10"	"Stroma"	"20"	"g10_Stroma_20"
"g10_Stroma_21"	"g10"	"Stroma"	"21"	"g10_Stroma_21"
"g10_Stroma_22"	"g10"	"Stroma"	"22"	"g10_Stroma_22"
"g11_Late Macrophage Ag_1"	"g11"	"Late Macrophage Ag"	"1"	"g11_Late Macrophage Ag_1"
"g11_Late Macrophage Ag_2"	"g11"	"Late Macrophage Ag"	"2"	"g11_Late Macrophage Ag_2"
"g11_Late Macrophage Ag_3"	"g11"	"Late Macrophage Ag"	"3"	"g11_Late Macrophage Ag_3"
"g11_Late Macrophage Ag_4"	"g11"	"Late Macrophage Ag"	"4"	"g11_Late Macrophage Ag_4"
"g11_Late Macrophage Ag_5"	"g11"	"Late Macrophage Ag"	"5"	"g11_Late Macrophage Ag_5"
"g11_Late Macrophage Ag_6"	"g11"	"Late Macrophage Ag"	"6"	"g11_Late Macrophage Ag_6"
"g11_Late Macrophage Ag_7"	"g11"	"Late Macrophage Ag"	"7"	"g11_Late Macrophage Ag_7"
"g11_Late Macrophage Ag_8"	"g11"	"Late Macrophage Ag"	"8"	"g11_Late Macrophage Ag_8"
"g11_Late Macrophage Ag_9"	"g11"	"Late Macrophage Ag"	"9"	"g11_Late Macrophage Ag_9"
"g11_Late Macrophage Ag_10"	"g11"	"Late Macrophage Ag"	"10"	"g11_Late Macrophage Ag_10"
"g11_Late Macrophage Ag_11"	"g11"	"Late Macrophage Ag"	"11"	"g11_Late Macrophage Ag_11"
"g11_Late Macrophage Ag_12"	"g11"	"Late Macrophage Ag"	"12"	"g11_Late Macrophage Ag_12"
"g11_Late Macrophage Ag_13"	"g11"	"Late Macrophage Ag"	"13"	"g11_Late Macrophage Ag_13"
"g11_Late Macrophage Ag_14"	"g11"	"Late Macrophage Ag"	"14"	"g11_Late Macrophage Ag_14"
"g11_Late Macrophage Ag_15"	"g11"	"Late Macrophage Ag"	"15"	"g11_Late Macrophage Ag_15"
"g11_Late Macrophage Ag_16"	"g11"	"Late Macrophage Ag"	"16"	"g11_Late Macrophage Ag_16"
"g11_Late Macrophage Ag_17"	"g11"	"Late Macrophage Ag"	"17"	"g11_Late Macrophage Ag_17"
"g11_Late Macrophage Ag_18"	"g11"	"Late Macrophage Ag"	"18"	"g11_Late Macrophage Ag_18"
"g11_Late Macrophage Ag_19"	"g11"	"Late Macrophage Ag"	"19"	"g11_Late Macrophage Ag_19"
"g11_Late Macrophage Ag_20"	"g11"	"Late Macrophage Ag"	"20"	"g11_Late Macrophage Ag_20"
"g11_Late Macrophage Ag_21"	"g11"	"Late Macrophage Ag"	"21"	"g11_Late Macrophage Ag_21"
"g11_Late Macrophage Ag_22"	"g11"	"Late Macrophage Ag"	"22"	"g11_Late Macrophage Ag_22"
"g12_moDC(CD45,CD68,CD11b)_1"	"g12"	"moDC(CD45,CD68,CD11b)"	"1"	"g12_moDC(CD45,CD68,CD11b)_1"
"g12_moDC(CD45,CD68,CD11b)_2"	"g12"	"moDC(CD45,CD68,CD11b)"	"2"	"g12_moDC(CD45,CD68,CD11b)_2"
"g12_moDC(CD45,CD68,CD11b)_3"	"g12"	"moDC(CD45,CD68,CD11b)"	"3"	"g12_moDC(CD45,CD68,CD11b)_3"
"g12_moDC(CD45,CD68,CD11b)_4"	"g12"	"moDC(CD45,CD68,CD11b)"	"4"	"g12_moDC(CD45,CD68,CD11b)_4"
"g12_moDC(CD45,CD68,CD11b)_5"	"g12"	"moDC(CD45,CD68,CD11b)"	"5"	"g12_moDC(CD45,CD68,CD11b)_5"
"g12_moDC(CD45,CD68,CD11b)_6"	"g12"	"moDC(CD45,CD68,CD11b)"	"6"	"g12_moDC(CD45,CD68,CD11b)_6"
"g12_moDC(CD45,CD68,CD11b)_7"	"g12"	"moDC(CD45,CD68,CD11b)"	"7"	"g12_moDC(CD45,CD68,CD11b)_7"
"g12_moDC(CD45,CD68,CD11b)_8"	"g12"	"moDC(CD45,CD68,CD11b)"	"8"	"g12_moDC(CD45,CD68,CD11b)_8"
"g12_moDC(CD45,CD68,CD11b)_9"	"g12"	"moDC(CD45,CD68,CD11b)"	"9"	"g12_moDC(CD45,CD68,CD11b)_9"
"g12_moDC(CD45,CD68,CD11b)_10"	"g12"	"moDC(CD45,CD68,CD11b)"	"10"	"g12_moDC(CD45,CD68,CD11b)_10"
"g12_moDC(CD45,CD68,CD11b)_11"	"g12"	"moDC(CD45,CD68,CD11b)"	"11"	"g12_moDC(CD45,CD68,CD11b)_11"
"g12_moDC(CD45,CD68,CD11b)_12"	"g12"	"moDC(CD45,CD68,CD11b)"	"12"	"g12_moDC(CD45,CD68,CD11b)_12"
"g12_moDC(CD45,CD68,CD11b)_13"	"g12"	"moDC(CD45,CD68,CD11b)"	"13"	"g12_moDC(CD45,CD68,CD11b)_13"
"g12_moDC(CD45,CD68,CD11b)_14"	"g12"	"moDC(CD45,CD68,CD11b)"	"14"	"g12_moDC(CD45,CD68,CD11b)_14"
"g12_moDC(CD45,CD68,CD11b)_15"	"g12"	"moDC(CD45,CD68,CD11b)"	"15"	"g12_moDC(CD45,CD68,CD11b)_15"
"g12_moDC(CD45,CD68,CD11b)_16"	"g12"	"moDC(CD45,CD68,CD11b)"	"16"	"g12_moDC(CD45,CD68,CD11b)_16"
"g12_moDC(CD45,CD68,CD11b)_17"	"g12"	"moDC(CD45,CD68,CD11b)"	"17"	"g12_moDC(CD45,CD68,CD11b)_17"
"g12_moDC(CD45,CD68,CD11b)_18"	"g12"	"moDC(CD45,CD68,CD11b)"	"18"	"g12_moDC(CD45,CD68,CD11b)_18"
"g12_moDC(CD45,CD68,CD11b)_19"	"g12"	"moDC(CD45,CD68,CD11b)"	"19"	"g12_moDC(CD45,CD68,CD11b)_19"
"g12_moDC(CD45,CD68,CD11b)_20"	"g12"	"moDC(CD45,CD68,CD11b)"	"20"	"g12_moDC(CD45,CD68,CD11b)_20"
